Name,Disc. Date,mmax,Mmax,R.A.,Dec.,z,Type,E(B-V)
SN2011fe,2011/08/24,9.48,-18.28,"14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.810,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.39,+54:16:25.3",0.000804,Ia,0.0077
SN2012fr,2012/10/27,11.74,-20.2,"03:33:35.99,03:33:35.990,03:33:36.288","-36:07:37.7,-36:07:37.70,-36:07:35.04",0.0054,Ia,0.0177
SN2013dy,2013/07/10,12.8,-18.381,"22:18:17.60,22:18:17.599","+40:34:09.6,+40:34:09.59",0.003889,Ia,0.132
SN2012dn,2012/07/08,13.67,-19.606,"20:23:36.26,20:23:36.259","-28:16:43.4,-28:16:43.39",0.010187,Ia,0.0519
SN1999ee,1999/10/07,14.5,-18.6,"22:16:09.40,22:16:10.00,22:16:10.001","-36:50:31.5,-36:50:39.7,-36:50:39.70","0.01141,0.01141",Ia,0.0172
SN2000cx,2000/07/17,12.9,-19.3,"01:24:46.19,01:24:46.15,01:24:46.150","+09:30:31.3,+09:30:30.9,+09:30:30.89","0.007929,0.008076",Ia Pec,0.0698
SN2014J,2014/01/21,8.98,-18.4,"09:55:42.12,09:55:42.139,09:55:42.14","+69:40:25.9,+69:40:26.00,+69:40:26.0","0.000677,0.000739,0.000841",Ia,0.1358
SN2005cf,2005/05/28,13.32,-18.7,"15:21:33.12,15:21:33.36,15:21:32.21,15:21:32.210","-07:26:57.1,-07:26:55.464,-07:24:47.5,-07:24:47.48","0.006461,0.006461",Ia,0.0841
SN1998bu,1998/05/09,11.44,-18.5,"10:46:46.01,10:46:46.030,10:46:46.03","+11:50:07.5,+11:50:07.12,+11:50:07.15",0.002992,Ia,0.0217
SN2007af,2007/03/01,13.05,-18.3,"14:22:21.03,14:22:21.12,14:22:21.060","-00:23:37.6,-00:23:37.68,-00:23:37.60,-00:23:37.72","0.005464,0.005464",Ia,0.0338
SN2015F,2015/03/09,13.1,-18.8,"07:36:15.76,07:36:15.761","-69:30:23.0,-69:30:23.00",0.00541,Ia,0.1749
SN2016bln,2016/04/04,15.3,-19.7779,"13:34:45.492,13:34:45.49","+13:51:14.30,+13:51:14.3,+13:51:14.0",0.023279,Ia-91T,0.024
SN2009dc,2009/04/09,14.53,-20.382,"15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.120,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28.5",0.02158,Ia Pec,0.0597
