"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SN1992ac","1992/05/30","17","-19.8","MCG +10-24-07","0.052","Ia","0.0118",""
"SN1988V","1988/11/06","16.5","-19.3","PGC 72027","0.032","Ia","0.0596",""
"SDSS-II SN 14480","2006/09/27","21.95","-19.0075","SDSS J00004.21+000122.4","0.330796","Ia","0.0269",""
"SN2003hh","2003/08/18","18.7","-17.5","UGC 12890","0.039","Ia","0.0504",""
"SN2016foc","2016/08/30","18.66","-19","","0.08,0.08","Ia","0.0346",""
"SNhunt259","2014/10/15","20.7","-15.4447","MCG -01-01-020","0.037909","Ia","0.0326",""
"SDSS-II SN 17527","2007/09/03","21.91","-18","SDSS J00104.89-001027.2","0.208","Ia","0.0285",""
"SDSS-II SN 19787","","20.89","-18.9062","SDSS J00107.52-000552.3","0.197292","Ia","0.0278",""
"SDSS-II SN 6225","2005/10/20","21.7","-19.3033","SDSS J00109.02-010000.8","0.337597","Ia","0.0332",""
"ASASSN-15qy","2015/10/11","16.4","-19","2MASX J00011837-3321048","0.03","Ia","0.0118",""
"SN2006nf","2006/10/17","21.88","-20.73","SDSS J00130.17+001631.7","0.694,0.717","Ia","0.0264",""
"SDSS-II SN 19762","2007/10/08","22.66","","","","Ia","0.0238",""
"SDSS-II SN 16551","2006/10/27","22.02","-18.7184","SDSS J00147.52-004022.4","0.300106","Ia","0.0322",""
"SN2011hl","2011/09/26","19.4","-18","A000155+0652","0.08","Ia","0.0372",""
"SDSS-II SN 4211","2005/09/13","21.93","-18.3996","SDSS J00202.14-003153.1","0.250225","Ia","0.0283",""
"SN2016ckz","2016/05/15","16.3","-19.5736","2MASXi J0002057-265846","0.033497,0.033497","Ia","0.0135",""
"SDSS-II SN 3475","2005/10/11","21.49","-19.2559","SDSS J00205.66-000902.4","0.301106","Ia","0.0267",""
"SDSS-II SN 15239","2006/10/01","21.87","-19.1107","SDSS J00225.51-005506.4","0.334228","Ia","0.0304",""
"SN2010lr","2010/12/30","","","A000234-3044","0.062,0.062","Ia","0.0115",""
"SDSS-II SN 15850","2006/10/20","20.4","-19.929","SDSS J00240.76-010956.9","0.2502","Ia","0.0291",""
"SDSS-II SN 3970","2005/10/12","21.89","","","","Ia","0.0284",""
"SN2005ed","2005/09/09","19.19","-18.7663","SDSS J00249.43+004506.7","0.08658,0.086341","Ia","0.0225",""
"SN2018ddb","2018/07/05","16.6","-19","IC 5380","0.029,0.029","Ia","0.0183",""
"SDSS-II SN 14343","2006/09/19","20.96","-20.0794","SDSS J00249.86-005715.1","0.343052","Ia","0.0313",""
"SNF20071003-000","2007/10/03","19.4","-18.833","","0.09782","Ia","0.0152",""
"SDSS-II SN 15370","2006/10/11","22.02","-19.9519","SDSS J00252.98-003006.6","0.519708","Ia","0.0269",""
"SDSS-II SN 20896","2007/10/21","21.98","-19.17","SDSS J00254.37+005623.1","0.361,0.361,0.504","Ia","0.0241",""
"SN2018jgn","2018/12/01","17.3","-20.0826","2MASX J00025583-2654505","0.066586,0.066586","Ia","",""
"SN2003lq","2003/12/28","15.9","-19.27","UGC 5","0.0243","Ia","0.0342",""
"SDSS-II SN 3560","2005/09/10","21.08","-21.11","SDSS J00304.43+004746.9","0.573,0.463","Ia","0.0246",""
"SDSS-II SN 1762","2005/09/03","20.78","","SDSS J00306.84-002620.2","","Ia","0.0297",""
"SNF20080919-000","2008/09/19","19.1","-18.05","","0.05991","Ia","0.0927",""
"SN2006sr","2006/12/12","16.39","-18.767","UGC 14","0.02414,0.02414","Ia","0.0804",""
"SN2008hj","2008/11/20","16.9","-19.244","MCG -02-01-14","0.03789","Ia","0.0303",""
"SDSS-II SN 16142","2006/10/29","20.97","","","","Ia","0.0434",""
"SDSS-II SN 11858","2005/11/19","21.75","-18.9211","SDSS J00412.51+002134.1","0.291263","Ia","0.0353",""
